Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud,Amount_GBP,Amount_INR,Year,Month,Month_Name,Day,International_Transaction,Shipping_Mismatch,Age_Group
#2605 734,2020-10-13,Tuesday,11,Visa,Tap,£28,POS,Entertainment,United Kingdom,China,United Kingdom,F,50.6,Metro,0,28.0,3621.2400000000002,2020,10,October,13,Domestic,Mismatch,46-55
#3261 845,2020-10-14,Wednesday,17,MasterCard,PIN,£98,ATM,Products,United Kingdom,United Kingdom,United Kingdom,F,37.2,Monzo,0,98.0,12674.340000000002,2020,10,October,14,Domestic,Match,36-45
#3513 029,2020-10-13,Tuesday,0,MasterCard,CVC,£25,Online,Food,Russia,Russia,United Kingdom,M,54.3,Barclays,1,25.0,3233.2500000000005,2020,10,October,13,International,Match,46-55
#3173 400,2020-10-14,Wednesday,21,Visa,CVC,£242,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,62.0,Barclays,0,242.0,31297.860000000004,2020,10,October,14,Domestic,Match,56-65
#2688 254,2020-10-13,Tuesday,20,Visa,PIN,£22,ATM,Children,United Kingdom,United Kingdom,United Kingdom,M,28.5,Lloyds,0,22.0,2845.26,2020,10,October,13,Domestic,Match,26-35
#3521 688,2020-10-14,Wednesday,23,MasterCard,Tap,£29,POS,Products,India,India,United Kingdom,F,55.0,Halifax,0,29.0,3750.57,2020,10,October,14,International,Match,46-55
#2624 152,2020-10-13,Tuesday,8,Visa,CVC,£397,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,29.9,Barclays,0,397.0,51344.01,2020,10,October,13,Domestic,Match,26-35
#3498 300,2020-10-13,Tuesday,19,Visa,CVC,£38,Online,Food,Russia,Russia,Russia,M,80.5,Barclays,0,38.0,4914.540000000001,2020,10,October,13,Domestic,Match,65+
#3222 155,2020-10-13,Tuesday,17,MasterCard,PIN,£25,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,63.3,Monzo,0,25.0,3233.2500000000005,2020,10,October,13,Domestic,Match,56-65
#2569 819,2020-10-14,Wednesday,20,Visa,PIN,£38,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,45.5,Barclays,0,38.0,4914.540000000001,2020,10,October,14,Domestic,Match,46-55
#2980 181,2020-10-14,Wednesday,9,MasterCard,CVC,£155,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,58.4,Halifax,0,155.0,20046.15,2020,10,October,14,Domestic,Match,56-65
#2788 277,2020-10-14,Wednesday,9,Visa,CVC,£12,Online,Children,China,China,China,M,47.2,Barclays,0,12.0,1551.96,2020,10,October,14,Domestic,Match,46-55
#3000 512,2020-10-13,Tuesday,21,Visa,PIN,£9,ATM,Services,Russia,Russia,United Kingdom,F,43.6,Halifax,0,9.0,1163.97,2020,10,October,13,International,Match,36-45
#3355 723,2020-10-13,Tuesday,17,Visa,CVC,£381,Online,Food,United Kingdom,USA,United Kingdom,F,42.4,Monzo,0,381.0,49274.73,2020,10,October,13,Domestic,Mismatch,36-45
#2723 387,2020-10-14,Wednesday,17,MasterCard,PIN,£94,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,46.1,Metro,0,94.0,12157.02,2020,10,October,14,Domestic,Match,46-55
#3382 956,2020-10-14,Wednesday,15,Visa,PIN,£30,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,45.1,Barclays,0,30.0,3879.9000000000005,2020,10,October,14,Domestic,Match,46-55
#3435 814,2020-10-13,Tuesday,22,MasterCard,CVC,£397,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53.3,Metro,0,397.0,51344.01,2020,10,October,13,Domestic,Match,46-55
#2875 854,2020-10-13,Tuesday,7,Visa,CVC,£16,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,35.4,Barclays,0,16.0,2069.28,2020,10,October,13,Domestic,Match,36-45
#3580 308,2020-10-13,Tuesday,18,MasterCard,PIN,£349,ATM,Gaming,USA,USA,United Kingdom,F,52.0,Barclays,0,349.0,45136.170000000006,2020,10,October,13,International,Match,46-55
#2702 687,2020-10-13,Tuesday,15,Visa,Tap,£29,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,35.0,Barclays,0,29.0,3750.57,2020,10,October,13,Domestic,Match,26-35
#2742 819,2020-10-13,Tuesday,11,Visa,CVC,£49,Online,Electronics,China,China,China,M,50.2,Barclays,0,49.0,6337.170000000001,2020,10,October,13,Domestic,Match,46-55
#2739 758,2020-10-13,Tuesday,15,Visa,PIN,£270,ATM,Food,Russia,Russia,United Kingdom,M,50.9,Halifax,0,270.0,34919.100000000006,2020,10,October,13,International,Match,46-55
#2946 662,2020-10-14,Wednesday,18,Visa,Tap,£13,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,58.2,Barclays,0,13.0,1681.2900000000002,2020,10,October,14,Domestic,Match,56-65
#3316 175,2020-10-14,Wednesday,3,MasterCard,PIN,£5,ATM,Services,China,China,United Kingdom,F,62.8,Barclays,1,5.0,646.6500000000001,2020,10,October,14,International,Match,56-65
#3322 751,2020-10-14,Wednesday,19,Visa,PIN,£11,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,45.0,Monzo,0,11.0,1422.63,2020,10,October,14,Domestic,Match,36-45
#3465 158,2020-10-13,Tuesday,14,Visa,PIN,£314,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,40.4,RBS,0,314.0,40609.62,2020,10,October,13,Domestic,Match,36-45
#2816 517,2020-10-14,Wednesday,12,Visa,PIN,£320,ATM,Children,United Kingdom,Russia,United Kingdom,M,47.3,Lloyds,0,320.0,41385.600000000006,2020,10,October,14,Domestic,Mismatch,46-55
#3470 100,2020-10-13,Tuesday,8,Visa,CVC,£6,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,23.3,Metro,0,6.0,775.98,2020,10,October,13,Domestic,Match,18-25
#2617 497,2020-10-14,Wednesday,4,Visa,PIN,£206,POS,Children,United Kingdom,India,United Kingdom,M,46.3,Barclays,1,206.0,26641.980000000003,2020,10,October,14,Domestic,Mismatch,46-55
#3537 427,2020-10-14,Wednesday,23,Visa,PIN,£57,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,26.0,Barclays,0,57.0,7371.81,2020,10,October,14,Domestic,Match,26-35
#3366 463,2020-10-13,Tuesday,23,Visa,PIN,£21,ATM,Restaurant,United Kingdom,Russia,United Kingdom,M,72.9,RBS,0,21.0,2715.9300000000003,2020,10,October,13,Domestic,Mismatch,65+
#2828 414,2020-10-14,Wednesday,7,Visa,CVC,£59,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,48.3,Monzo,0,59.0,7630.470000000001,2020,10,October,14,Domestic,Match,46-55
#2816 113,2020-10-14,Wednesday,9,MasterCard,PIN,£12,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,50.6,Barclays,0,12.0,1551.96,2020,10,October,14,Domestic,Match,46-55
#2616 954,2020-10-14,Wednesday,19,Visa,PIN,£26,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,M,36.6,Monzo,0,26.0,3362.5800000000004,2020,10,October,14,Domestic,Match,36-45
#2850 531,2020-10-13,Tuesday,19,MasterCard,CVC,£153,Online,Food,Russia,United Kingdom,Russia,M,50.3,Barclays,0,153.0,19787.49,2020,10,October,13,Domestic,Mismatch,46-55
#3560 442,2020-10-13,Tuesday,14,MasterCard,CVC,£27,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,29.7,Lloyds,0,27.0,3491.9100000000003,2020,10,October,13,Domestic,Match,26-35
#2769 870,2020-10-14,Wednesday,17,MasterCard,Tap,£20,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,57.0,Barclays,0,20.0,2586.6000000000004,2020,10,October,14,Domestic,Match,56-65
#2728 567,2020-10-13,Tuesday,1,MasterCard,Tap,£30,POS,Children,United Kingdom,China,United Kingdom,F,37.2,Barclays,1,30.0,3879.9000000000005,2020,10,October,13,Domestic,Mismatch,36-45
#2844 128,2020-10-13,Tuesday,21,MasterCard,PIN,£123,POS,Children,United Kingdom,USA,United Kingdom,F,38.8,Barclays,0,123.0,15907.590000000002,2020,10,October,13,Domestic,Mismatch,36-45
#3032 120,2020-10-14,Wednesday,8,MasterCard,PIN,£285,POS,Entertainment,USA,USA,United Kingdom,M,51.2,HSBC,0,285.0,36859.05,2020,10,October,14,International,Match,46-55
#3250 080,2020-10-14,Wednesday,5,Visa,CVC,£24,Online,Children,United Kingdom,USA,United Kingdom,M,48.5,Barclays,1,24.0,3103.92,2020,10,October,14,Domestic,Mismatch,46-55
#3256 652,2020-10-14,Wednesday,22,MasterCard,Tap,£23,POS,Products,United Kingdom,India,United Kingdom,M,48.1,Lloyds,0,23.0,2974.59,2020,10,October,14,Domestic,Mismatch,46-55
#2588 721,2020-10-14,Wednesday,23,MasterCard,PIN,£226,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,45.9,Barclays,0,226.0,29228.58,2020,10,October,14,Domestic,Match,46-55
#3639 210,2020-10-14,Wednesday,9,MasterCard,CVC,£12,Online,Entertainment,USA,USA,USA,M,45.6,Monzo,0,12.0,1551.96,2020,10,October,14,Domestic,Match,46-55
#3478 603,2020-10-13,Tuesday,0,MasterCard,PIN,£22,ATM,Electronics,United Kingdom,India,United Kingdom,F,53.8,RBS,1,22.0,2845.26,2020,10,October,13,Domestic,Mismatch,46-55
#3348 821,2020-10-14,Wednesday,11,MasterCard,PIN,£296,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,53.0,RBS,0,296.0,38281.68,2020,10,October,14,Domestic,Match,46-55
#3022 566,2020-10-13,Tuesday,7,Visa,CVC,£353,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,58.2,Monzo,0,353.0,45653.490000000005,2020,10,October,13,Domestic,Match,56-65
#3532 879,2020-10-13,Tuesday,10,MasterCard,PIN,£60,POS,Subscription,India,India,United Kingdom,M,50.9,Barclays,0,60.0,7759.800000000001,2020,10,October,13,International,Match,46-55
#3237 241,2020-10-13,Tuesday,22,MasterCard,PIN,£134,POS,Electronics,United Kingdom,China,United Kingdom,M,40.6,Monzo,0,134.0,17330.22,2020,10,October,13,Domestic,Mismatch,36-45
#2755 798,2020-10-13,Tuesday,7,Visa,PIN,£12,ATM,Children,United Kingdom,USA,United Kingdom,F,51.9,Barclays,1,12.0,1551.96,2020,10,October,13,Domestic,Mismatch,46-55
#2644 017,2020-10-13,Tuesday,21,MasterCard,PIN,£80,POS,Food,United Kingdom,United Kingdom,United Kingdom,F,40.0,Barclays,0,80.0,10346.400000000001,2020,10,October,13,Domestic,Match,36-45
#2973 712,2020-10-14,Wednesday,13,MasterCard,CVC,£296,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,41.8,Barclays,0,296.0,38281.68,2020,10,October,14,Domestic,Match,36-45
#2995 519,2020-10-14,Wednesday,23,MasterCard,CVC,£241,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,36.6,RBS,0,241.0,31168.530000000002,2020,10,October,14,Domestic,Match,36-45
#2875 470,2020-10-14,Wednesday,21,Visa,PIN,£86,ATM,Restaurant,Russia,Russia,United Kingdom,F,51.2,Metro,0,86.0,11122.380000000001,2020,10,October,14,International,Match,46-55
#3636 170,2020-10-13,Tuesday,12,Visa,PIN,£309,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,48.7,Metro,0,309.0,39962.97,2020,10,October,13,Domestic,Match,46-55
#3460 102,2020-10-13,Tuesday,17,MasterCard,PIN,£23,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,55.1,RBS,0,23.0,2974.59,2020,10,October,13,Domestic,Match,56-65
#2675 985,2020-10-14,Wednesday,9,MasterCard,PIN,£21,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,58.7,Halifax,0,21.0,2715.9300000000003,2020,10,October,14,Domestic,Match,56-65
#2719 075,2020-10-13,Tuesday,10,Visa,PIN,£161,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,30.3,RBS,0,161.0,20822.13,2020,10,October,13,Domestic,Match,26-35
#3417 074,2020-10-14,Wednesday,11,MasterCard,PIN,£353,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,48.3,Barclays,0,353.0,45653.490000000005,2020,10,October,14,Domestic,Match,46-55
#3286 525,2020-10-14,Wednesday,7,MasterCard,CVC,£17,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,62.3,RBS,0,17.0,2198.61,2020,10,October,14,Domestic,Match,56-65
#2806 654,2020-10-14,Wednesday,19,MasterCard,PIN,£25,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,57.3,Metro,0,25.0,3233.2500000000005,2020,10,October,14,Domestic,Match,56-65
#3482 463,2020-10-13,Tuesday,8,MasterCard,PIN,£261,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,50.0,Barclays,0,261.0,33755.130000000005,2020,10,October,13,Domestic,Match,46-55
#3373 446,2020-10-14,Wednesday,23,Visa,Tap,£6,POS,Electronics,United Kingdom,USA,United Kingdom,M,31.5,Barclays,0,6.0,775.98,2020,10,October,14,Domestic,Mismatch,26-35
#3641 469,2020-10-14,Wednesday,2,Visa,Tap,£26,POS,Children,United Kingdom,Russia,United Kingdom,M,45.7,Metro,1,26.0,3362.5800000000004,2020,10,October,14,Domestic,Mismatch,46-55
#3284 574,2020-10-14,Wednesday,17,Visa,PIN,£264,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,40.2,Metro,0,264.0,34143.12,2020,10,October,14,Domestic,Match,36-45
#3506 217,2020-10-13,Tuesday,7,Visa,CVC,£25,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,46.2,RBS,0,25.0,3233.2500000000005,2020,10,October,13,Domestic,Match,46-55
#3063 704,2020-10-14,Wednesday,21,MasterCard,Tap,£10,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,46.9,Metro,0,10.0,1293.3000000000002,2020,10,October,14,Domestic,Match,46-55
#3089 858,2020-10-13,Tuesday,9,MasterCard,PIN,£27,ATM,Children,Russia,United Kingdom,Russia,M,42.6,HSBC,0,27.0,3491.9100000000003,2020,10,October,13,Domestic,Mismatch,36-45
#3515 806,2020-10-14,Wednesday,23,MasterCard,CVC,£12,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,56.8,Metro,0,12.0,1551.96,2020,10,October,14,Domestic,Match,56-65
#2693 237,2020-10-13,Tuesday,12,Visa,PIN,£53,ATM,Food,China,China,China,M,35.9,Barclays,0,53.0,6854.490000000001,2020,10,October,13,Domestic,Match,36-45
#2548 218,2020-10-14,Wednesday,7,MasterCard,Tap,£24,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53.8,Barclays,0,24.0,3103.92,2020,10,October,14,Domestic,Match,46-55
#3430 079,2020-10-13,Tuesday,21,MasterCard,PIN,£119,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,61.8,HSBC,0,119.0,15390.270000000002,2020,10,October,13,Domestic,Match,56-65
#3393 807,2020-10-14,Wednesday,8,Visa,PIN,£25,ATM,Subscription,China,China,China,M,40.4,Barclays,0,25.0,3233.2500000000005,2020,10,October,14,Domestic,Match,36-45
#3085 158,2020-10-14,Wednesday,15,Visa,Tap,£11,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,33.6,HSBC,0,11.0,1422.63,2020,10,October,14,Domestic,Match,26-35
#3169 897,2020-10-14,Wednesday,19,Visa,Tap,£26,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,F,49.1,Halifax,0,26.0,3362.5800000000004,2020,10,October,14,Domestic,Match,46-55
#3299 824,2020-10-14,Wednesday,13,Visa,Tap,£19,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,63.3,Lloyds,0,19.0,2457.2700000000004,2020,10,October,14,Domestic,Match,56-65
#3373 238,2020-10-14,Wednesday,17,MasterCard,PIN,£330,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,47.5,Metro,0,330.0,42678.9,2020,10,October,14,Domestic,Match,46-55
#3080 852,2020-10-13,Tuesday,11,Visa,PIN,£155,POS,Subscription,China,China,China,F,60.0,Barclays,0,155.0,20046.15,2020,10,October,13,Domestic,Match,56-65
#2679 944,2020-10-13,Tuesday,20,MasterCard,Tap,£28,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,38.0,RBS,0,28.0,3621.2400000000002,2020,10,October,13,Domestic,Match,36-45
#2849 868,2020-10-14,Wednesday,10,MasterCard,Tap,£23,POS,Products,USA,USA,USA,F,57.8,Halifax,0,23.0,2974.59,2020,10,October,14,Domestic,Match,56-65
#2888 790,2020-10-13,Tuesday,19,MasterCard,PIN,£22,ATM,Fashion,India,India,India,M,49.4,Barclays,0,22.0,2845.26,2020,10,October,13,Domestic,Match,46-55
#3033 906,2020-10-13,Tuesday,18,Visa,CVC,£19,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,28.5,HSBC,0,19.0,2457.2700000000004,2020,10,October,13,Domestic,Match,26-35
#2853 274,2020-10-13,Tuesday,7,Visa,Tap,£14,POS,Services,India,India,India,M,55.7,Barclays,0,14.0,1810.6200000000001,2020,10,October,13,Domestic,Match,56-65
#3348 999,2020-10-14,Wednesday,16,Visa,PIN,£110,POS,Services,Russia,Russia,Russia,F,45.8,Barclays,0,110.0,14226.300000000001,2020,10,October,14,Domestic,Match,46-55
#3064 971,2020-10-13,Tuesday,13,Visa,Tap,£29,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,45.1,Lloyds,0,29.0,3750.57,2020,10,October,13,Domestic,Match,46-55
#2967 234,2020-10-13,Tuesday,23,MasterCard,Tap,£23,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,33.2,Barclays,0,23.0,2974.59,2020,10,October,13,Domestic,Match,26-35
#2742 824,2020-10-13,Tuesday,5,Visa,CVC,£18,Online,Food,USA,USA,United Kingdom,M,43.1,HSBC,1,18.0,2327.94,2020,10,October,13,International,Match,36-45
#3602 783,2020-10-14,Wednesday,19,Visa,PIN,£20,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,M,44.7,RBS,0,20.0,2586.6000000000004,2020,10,October,14,Domestic,Match,36-45
#2604 009,2020-10-14,Wednesday,13,Visa,CVC,£19,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,52.5,Barclays,0,19.0,2457.2700000000004,2020,10,October,14,Domestic,Match,46-55
#2784 622,2020-10-14,Wednesday,3,MasterCard,CVC,£22,Online,Entertainment,Russia,Russia,United Kingdom,M,57.7,Halifax,1,22.0,2845.26,2020,10,October,14,International,Match,56-65
#3250 073,2020-10-14,Wednesday,18,Visa,Tap,£23,POS,Products,United Kingdom,Russia,United Kingdom,M,45.2,Barclays,0,23.0,2974.59,2020,10,October,14,Domestic,Mismatch,46-55
#3582 633,2020-10-14,Wednesday,7,MasterCard,CVC,£173,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,61.6,RBS,0,173.0,22374.090000000004,2020,10,October,14,Domestic,Match,56-65
#3659 502,2020-10-13,Tuesday,16,Visa,CVC,£18,Online,Food,United Kingdom,India,United Kingdom,M,36.3,HSBC,0,18.0,2327.94,2020,10,October,13,Domestic,Mismatch,36-45
#3196 112,2020-10-13,Tuesday,15,Visa,PIN,£115,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,F,49.3,Barclays,0,115.0,14872.95,2020,10,October,13,Domestic,Match,46-55
#2719 880,2020-10-13,Tuesday,13,MasterCard,PIN,£189,POS,Food,China,China,United Kingdom,F,52.8,Barclays,1,189.0,24443.370000000003,2020,10,October,13,International,Match,46-55
#3220 524,2020-10-13,Tuesday,8,Visa,PIN,£219,POS,Gaming,India,India,United Kingdom,F,50.2,Monzo,0,219.0,28323.270000000004,2020,10,October,13,International,Match,46-55
#3184 657,2020-10-14,Wednesday,11,Visa,CVC,£10,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,F,41.3,HSBC,0,10.0,1293.3000000000002,2020,10,October,14,Domestic,Match,36-45
#3322 447,2020-10-14,Wednesday,19,MasterCard,PIN,£17,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,30.1,HSBC,0,17.0,2198.61,2020,10,October,14,Domestic,Match,26-35
#3653 884,2020-10-13,Tuesday,17,MasterCard,PIN,£110,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,67.2,Barclays,0,110.0,14226.300000000001,2020,10,October,13,Domestic,Match,65+
#3314 821,2020-10-14,Wednesday,13,Visa,PIN,£268,ATM,Children,USA,United Kingdom,USA,F,59.1,Lloyds,0,268.0,34660.44,2020,10,October,14,Domestic,Mismatch,56-65
#3090 404,2020-10-14,Wednesday,16,Visa,PIN,£10,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,54.7,Halifax,0,10.0,1293.3000000000002,2020,10,October,14,Domestic,Match,46-55
#2655 662,2020-10-14,Wednesday,13,MasterCard,Tap,£10,POS,Food,USA,USA,United Kingdom,F,36.9,Halifax,0,10.0,1293.3000000000002,2020,10,October,14,International,Match,36-45
#2990 462,2020-10-14,Wednesday,23,Visa,CVC,£27,Online,Subscription,India,India,India,M,48.4,Barclays,0,27.0,3491.9100000000003,2020,10,October,14,Domestic,Match,46-55
#3092 232,2020-10-14,Wednesday,22,Visa,PIN,£20,ATM,Children,Russia,United Kingdom,Russia,F,32.1,Barclays,0,20.0,2586.6000000000004,2020,10,October,14,Domestic,Mismatch,26-35
#3144 958,2020-10-14,Wednesday,7,MasterCard,CVC,£9,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,55.0,Metro,0,9.0,1163.97,2020,10,October,14,Domestic,Match,46-55
#3084 978,2020-10-14,Wednesday,9,Visa,Tap,£11,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,27.2,Barclays,0,11.0,1422.63,2020,10,October,14,Domestic,Match,26-35
#3121 946,2020-10-14,Wednesday,10,MasterCard,Tap,£6,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,47.0,Metro,0,6.0,775.98,2020,10,October,14,Domestic,Match,46-55
#3610 251,2020-10-13,Tuesday,20,Visa,PIN,£19,ATM,Fashion,United Kingdom,China,United Kingdom,F,53.5,Metro,0,19.0,2457.2700000000004,2020,10,October,13,Domestic,Mismatch,46-55
#3315 109,2020-10-14,Wednesday,23,MasterCard,CVC,£341,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,42.3,Barclays,0,341.0,44101.530000000006,2020,10,October,14,Domestic,Match,36-45
#3436 864,2020-10-14,Wednesday,8,Visa,PIN,£92,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,F,41.1,Halifax,0,92.0,11898.36,2020,10,October,14,Domestic,Match,36-45
#3009 706,2020-10-13,Tuesday,8,MasterCard,Tap,£7,POS,Food,USA,USA,USA,F,40.9,HSBC,0,7.0,905.3100000000001,2020,10,October,13,Domestic,Match,36-45
#2712 770,2020-10-13,Tuesday,18,Visa,PIN,£145,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,F,48.0,Metro,0,145.0,18752.850000000002,2020,10,October,13,Domestic,Match,46-55
#3096 560,2020-10-14,Wednesday,8,Visa,PIN,£382,POS,Subscription,China,China,China,F,42.7,Barclays,0,382.0,49404.060000000005,2020,10,October,14,Domestic,Match,36-45
#3286 840,2020-10-13,Tuesday,9,Visa,Tap,£9,POS,Products,United Kingdom,United Kingdom,United Kingdom,M,43.4,Metro,0,9.0,1163.97,2020,10,October,13,Domestic,Match,36-45
#2849 439,2020-10-13,Tuesday,17,MasterCard,CVC,£16,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53.8,Barclays,0,16.0,2069.28,2020,10,October,13,Domestic,Match,46-55
#2952 877,2020-10-14,Wednesday,18,Visa,PIN,£358,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53.9,Barclays,0,358.0,46300.14000000001,2020,10,October,14,Domestic,Match,46-55
#3441 659,2020-10-13,Tuesday,9,Visa,Tap,£7,POS,Children,China,China,United Kingdom,F,46.2,RBS,1,7.0,905.3100000000001,2020,10,October,13,International,Match,46-55
#2573 953,2020-10-13,Tuesday,7,Visa,PIN,£19,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,39.7,Barclays,0,19.0,2457.2700000000004,2020,10,October,13,Domestic,Match,36-45
#3103 826,2020-10-14,Wednesday,14,Visa,PIN,£318,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,63.9,Barclays,0,318.0,41126.94,2020,10,October,14,Domestic,Match,56-65
